word,url,description
방어율,https://terms.naver.com/entry.naver?docId=1213789&mobile&cid=40942&categoryId=31968,"야구 경기에서, 투수가 한 게임 동안 내준 자책점의 평균율.
방어율은 투수의 역량을 재는 지표로, 방어율이라고도 한다. 영어로는 언드런애버리지(earned run average), 약자로는 ERA 라고 한다. 평균자책점은 투수가 평균적으로 한 게임(9이닝) 당 내준 점수를 의미한다. 평균자책점이 낮을수록 경기 당 내준 점수가 적다는 것이므로 투수는 낮은 평균자책점을 기록할수록 좋다.평균자책점을 따질 때 사용되는 점수는 실점(失點)이 아니라 자책점인데, 자책점에는 야수의 실책이나 해당 투수가 진루시키지 않은 주자에 의해서 난 점수는 포함되지 않는다. 투수가 소속 팀의 총 시합 수 이상의 이닝에 등판한 경우에 한해서 방어율이 가장 낮은 투수는 최우수투수로 선정된다.
"
백투백홈런,https://terms.naver.com/entry.naver?docId=1230087&mobile&cid=40942&categoryId=32050,"야구 경기에서, 홈런을 친 타자 바로 다음에 타석에 오른 타자가 연속하여 홈런을 치는 경우를 백투백홈런이라고 한다. 세 타자 연속 홈런은 백투백투백홈런이라고 한다. 백투백홈런은 랑데부홈런(rendezvous home run), 아베크홈런(avec home run)이라고도 하는데, 이는 불어를 차용한 일본식 표현이다.
"
벤치클리어링,https://terms.naver.com/entry.naver?docId=3575035&cid=58905&categoryId=58913,"그라운드 위에서 선수들 사이에 싸움이 벌어졌을 때, 양 팀 소속 선수들이 모두 그라운드로 몰려나와 뒤엉키는 것을 말한다. 그러면 말 그대로 벤치가 깨끗이 비워지게(clearing) 되기 때문이다. 흔히 벤치클리어링(Bench-clearing brawl)은 ‘패싸움’과 같은 말로 이해되곤 하지만, 사실 대개의 벤치클리어링은 반대로 ‘싸움 말리기’의 성격을 가진다.
"
번트,https://terms.naver.com/entry.naver?docId=1230170&mobile&cid=40942&categoryId=32050,"배트를 휘두르지 않고 공에 배트를 갖다 대듯이 가볍게 밀어 공을 내야에 굴리는 타법.
내야에 공이 천천히 구르도록 배트를 스윙하지 않고 의식적으로 갖다 댄 타구를 말한다. 대개의 경우 누상(壘上)에 있는 다른 주자를 다음 베이스로 진루시킬 목적으로 하는 희생 번트의 뜻으로 쓰인다. 투 스트라이크 이후에 번트를 하여 파울볼(foul ball)이 된 경우 타자는 자동으로 삼진 아웃이 된다. 
	이 밖에도 타자가 수비진의 허를 찔러 번트하여 타자 자신이 살아서 1루까지 출루하려고 시도하는 것은 세이프티 번트라고 하는데, 이 용어는 일본에서 만들어진 것으로, 한국에서도 그대로 외래어로 토착되어 쓰이고 있다. 방법에 따라 희생번트(SB, sacrifice bunt)와 드래그번트(drag bunt), 푸시번트(push bunt), 페이크번트(fake bunt) 등이 있다.
	 
	 
	[번트 동작]
"
병살(더블플레이),https://terms.naver.com/entry.naver?docId=1920876&mobile&cid=50344&categoryId=50344,"야구에서, 2명의 선수가 한꺼번에 아웃되는 플레이. 타자가 땅볼을 쳤을 때 2명의 주자가 연속으로 아웃되는 상황, 타자가 타격 후 아웃되고 연속으로 주자가 베이스로 돌아가기 전에 아웃되는 상황, 타자가 스트라이크 아웃되고 주자가 도루를 하려다가 아웃되는 상황 등을 일컫는다.
"
보살,https://terms.naver.com/entry.naver?docId=449152&mobile&cid=50344&categoryId=50344,"러너를 터치 아웃시키기에 충분한 조력적 수비(助力的 守備)를 완료한 동작. 또 이 동작을 한 사람에게 부여되는 수비 성적을 나타내는 말.
"
보크,https://terms.naver.com/entry.naver?docId=1230185&mobile&cid=40942&categoryId=32050,"주자가 루에 있을 때 투수가 규칙에 어긋나는 투구 동작을 하는 것.
보크가 선언되면 베이스에 있던 주자는 모두 다음 베이스로 자동 진루할 수 있다. 투수가 다음의 잘못을 저질렀을 경우, 심판원은 보크를 선언한다.1. 투수판에 중심발을 대고 있는 투수가 투구와 관련된 동작을 일으킨 다음 그 투구를 중지했을 경우. 2. 투수판에 중심발을 대고 있는 투수가 1루에 송구하는 흉내만 내고 실제로 송구하지 않았을 경우.3. 투수판을 딛고 있는 투수가 베이스에 송구하기 전에 그 베이스가 있는 방향으로 발을 똑바로 내딛지 않았을 경우.4. 투수판에 중심발을 대고 있는 투수가 주자가 없는 베이스에 송구하든지 송구하는 흉내를 냈을 경우(단, 도루를 방지할 목적이었다면 상관없다).5. 투수가 타자에게 타격자세를 취할 시간을 주지 않고 투구해버리는 퀵피치(quick pitch)를 했을 경우.6. 투수가 타자를 정면으로 보지 않고 투구했을 경우. 7. 투수가 투수판을 밟지 않고 투구와 관련된 동작을 했을 경우.8. 투수가 불필요하게 경기를 지연시켰을 경우. 9. 투수가 공을 갖지 않고 투수판을 밟거나 걸터섰을 경우 또는 투수판에서 떨어져 투구와 관련된 흉내를 냈을 경우.10. 투수가 정규의 투구 자세를 취한 후 실제로 투구하거나, 베이스에 송구할 경우를 제외하고 공에서 한쪽 손을 떼었을 경우.11. 투수판에 중심발을 대고 있던 투수가 고의이건 고의가 아니건 공을 떨어뜨렸을 경우.12. 고의사구(四球)가 시도되었을 때 투수가 캐처스 박스 밖에 있는 포수에게 투구하였을 경우.13. 투수가 세트포지션으로부터 투구할 때 완전히 정지하지 않고 투구하였을 경우.
"
본헤드 플레이,https://terms.naver.com/entry.naver?docId=1230187&cid=40942&categoryId=32050,"미숙한 플레이. 수비나 주루 플레이를 할 때 판단을 잘못해서 어처구니 없는 실수를 저지르는 것을 말한다. 그런 실수를 저지르는 선수를 가리켜 본헤드(bone head : 바보, 얼간이)라고 부른다.
"
사구(死球),https://terms.naver.com/entry.naver?docId=3575192&cid=58905&categoryId=58913,"타자의 몸을 맞히는 투구. 한 때 일본식으로 ‘데드볼’로 널리 불렸으나 90년대 이후 MBC 방송의 허구연 해설위원을 비롯한 많은 이들이 방송을 통해 거듭 되새기고 깨우쳐준 덕분에 ‘힛바이 피치드볼(Hit by pitched ball)’이라는 영어식 표현으로, 혹은 그냥 ‘몸에 맞는 공’이라는 우리말로 바뀌는 추세다.
"
사사구(四死球),https://terms.naver.com/entry.naver?docId=449608&mobile&cid=50344&categoryId=50344,"포 볼(four ball)과 히트 바이 피치드 볼(hit by pitched ball)을 통틀어 가리키는 말.
"
사이클링히트,https://terms.naver.com/entry.naver?docId=1230201&mobile&cid=40942&categoryId=32050,"한 선수가 한 게임에서 단타(1루타), 2루타, 3루타, 홈런을 순서에 관계없이 모두 쳐낸 것을 말한다.
단타부터 홈런까지를 치는 순서는 상관없지만 어느 한 가지라도 빠지면 사이클링 히트로 기록되지 않는다. 예를 들어 3루타가 둘이라도 2루타가 없으면 사이클링 히트가 될 수 없다. 만약 단타, 2루타, 3루타, 홈런을 차례로 기록했을 경우 특별히 ‘내추럴 사이클스(natural cycles)’라고 부른다. 사이클(cycle), 사이클히트(cycle hit), 히팅포사이클(hitting for cycle), 올마이티히트(almighty hit), 해트트릭(hat trick)이라고도 한다.
"
삼중살(트리플플레이),https://terms.naver.com/entry.naver?docId=1230205&mobile&cid=40942&categoryId=32050,"수비 팀이 연속된 동작으로 3명의 공격 팀 선수를 아웃시키는 플레이를 말한다. 그러나 풋아웃(put out)과 풋아웃 사이에 실책이 있는 경우는 트리플플레이로 기록되지 않는다. 삼중살(三重殺)이라고도 한다.
"
선발투수,https://terms.naver.com/entry.naver?docId=1230216&mobile&cid=40942&categoryId=32050,"경기가 시작될 때 가장 먼저 등판한 투수를 말한다. 영어로는 스타팅피처(starting pitcher)라고 한다.
"
세이브,https://terms.naver.com/entry.naver?docId=1263687&mobile&cid=40942&categoryId=32050,"마무리 투수가 나와서 역전을 허용하지 않았을 경우 주어지는 기록.
마무리 투수가 나와서 역전을 허용하지 않았을 경우 주어지는 기록으로, 투수진의 역할 분담에 따라 마무리 투수의 중요성이 인식되면서 생겼다. 미국 메이저리그에서는 1969년부터, 일본은 1974년, 우리나라는 1982년 프로야구 출범과 함께 도입되었다. 승리한 팀에서 2명 이상의 투수가 등판하였을 경우, 승리투수의 기록을 얻지 못한 투수 중에서 다음과 같은 조건을 충족시킨 투수에게 세이브 기록을 준다. 단, 1경기에 1명의 구원투수에게만 기록이 주어진다.1. 자기 팀이 승리를 얻은 경기를 마무리한 투수.2. 승리투수의 기록을 얻지 못한 투수.3. 다음 각항의 어느 것에 해당하는 투수.① 자기 팀이 3점 이하의 리드를 하고 있을 때 출장하여 최저 1이닝을 투구하였을 경우 ② 베이스에 있는 주자 또는 상대하는 타자 또는 그다음 타자가 득점하면 동점이 되는 상황에서 출장하였을 경우 ③ 최저 3이닝 이상 효과적인 투구를 하였을 경우.
"
스트라이크아웃 낫아웃,https://terms.naver.com/entry.naver?docId=69654&mobile&cid=43667&categoryId=43667,"야구 경기에서 세 번째 스트라이크를 포수가 받지 못했을 때 삼진아웃으로 인정하지 않는 규칙을 말한다.
"
승리투수,https://terms.naver.com/entry.naver?docId=1230271&mobile&cid=40942&categoryId=32050,"경기를 승리로 이끈 투수, 혹은 그 투수에게 주어지는 기록이다. 승리한 경기에 등판한 투수 모두에게 주어지는 기록이 아니며 다음과 같은 조건이 갖추어져야 한다.1. 선발투수로 등판했을 경우, 최소 5회 이상(경기가 5회에서 종료되었을 때는 최소 4회) 완투(完投)해야 한다. 또한 교체되어 마운드에서 내려갈 때까지 자기 팀이 리드(lead) 상태에 있어야 하고 경기가 끝날 때까지 리드가 유지 되어야 한다.2. 선발투수가 5회 미만을 던졌거나 리드를 유지하는 데 실패한 경우,① 선발투수가 리드는 유지했으나 5회 미만을 던졌을 때에는 리드를 끝까지 이어나가고 승리하는데 있어 가장 효과적인 투구를 한 구원투수 중 한 명을 기록원이 판단하여 승리투수로 기록한다. ② 경기 도중 동점이 되면 리드·비하인드 판정은 원점으로 돌아가 다시 시작한다. 상대 팀에게 리드를 빼앗기면 그때까지 투구한 투수들은 승리투수 기록될 수 없다. 단, 상대 팀에게 리드를 내어줬던 투수가 계속 던져 팀의 리드를 되찾고 그 리드가 경기 끝까지 유지되었다면 해당 투수에게 승리투수 기록이 주어진다. ③ 선발투수가 리드를 유지하지 못한 경우, 구원투수가 던지는 동안 리드를 다시 잡고 그 리드가 경기 끝까지 유지되었으면 해당 구원투수에게 승리투수 기록이 주어진다. 단, 구원투수가 비효과적인 투구를 하고 교체되어 그 뒤에 나온 다른 구원투수가 리드를 유지하는 데 효과적인 투구를 했다면 뒤에 등판한 구원투수를 승리투수로 기록한다.3. 정규 경기가 아닌 올스타전과 같은 특별 경기에서는 투수당 투구 횟수가 2~3회로 미리 정해져 있는 경우가 많다. 이런 경기에서는 선발투수·구원투수에 상관없이 승리로 이어진 리드를 처음 잡았던 투수에게 승리투수를 기록하는 것이 관례다. 그러나 만약 승리 팀의 결정적인 리드를 잡았던 투수가 난타 당해 교체되었고, 투입된 구원투수가 승리에 더 많이 기여했다고 판단될 경우에는 해당 구원투수가 승리투수로 기록된다.
"
완봉승,https://terms.naver.com/entry.naver?docId=70675&mobile&cid=50344&categoryId=50344,"'완투승'은 투수가 9이닝까지 모두 던지고 승리를 기록한 경우를 말하며, '완봉승'은 투수가 완투하여 상대팀에게 전혀 득점을 주지 않은 승리로, 연장전인 경우 연장전 마지막 이닝까지 무실점으로 막아야 기록이 인정된다.   일명 셧아웃 게임(Shut Out Game)이라고도 한다.
"
완투승,https://terms.naver.com/entry.naver?docId=70676&mobile&cid=50344&categoryId=50344,"한 경기에서 투수가 9이닝을 전부 던져 승리를 기록하는 것을 말한다.
"
인필드 플라이,https://terms.naver.com/entry.naver?docId=453459&mobile&cid=42876&categoryId=42876,"다음의 경우에 심판이 타자에게 선고하는 아웃을 말한다. 즉 무사(無死) 또는 1사로 1•2루 또는 1•2•3루에 주자가 있을 때 타자가 친 볼이 라이너(liner ; 직선으로 날아가는 타구)가 아니고, 심판의 판단으로 당연히 내야수가 볼을 잡을 수 있는 페어 플라이(fair fly)였을 경우이다. 보통 외야에서 수비해야 할 야수가 내야에 자리잡았을 경우는 인필드 플라이 규칙의 목적에 따라 그 플레이어는 내야수로 간주한다. 이 경우에 심판은 그 타구에 대하여 인필드 플라이를 선언한다. 다만 주자가 플라이 볼이 포구될 위험을 무릅쓰고 진루할 수 있는 것은 다른 플라이 볼의 경우와 같다. 주자가 루 위에 서 있을 때 볼에 닿아도 주자는 아웃이 되지 않으나 그때는 볼 데드(ball dead : 경기 정지구)가 되고, 타자에게는 아웃이 선언된다. 또 주자가 루에서 떨어져 있을 때에 볼에 닿았을 경우는 주자나 타자 모두 아웃이 선언되며, 볼 데드가 된다. 다만 노 아웃 또는 원 아웃에서 주자가 1•2루 또는 1•2•3루에 있을 때, 번트(bunt)를 시도하여 그것이 플라이 볼이 되었을 경우에는 인필드 플라이로 간주하지 않는다.
"
자책점,https://terms.naver.com/entry.naver?docId=1230299&mobile&cid=40942&categoryId=32050,"투수가 책임을 져야 할 실점.
투수가 책임을 져야 하는 실점이다. 영어로는 언드런(ER, earned run)이라고 한다. 자책점을 결정하려면 실책(포수의 타격 방해 포함)과 패스트볼(passed ball)을 제외하고 그 이닝(inning)을 재구성해야 한다. 실책 등에 의해 진루한 누를 결정할 경우, 의심스러운 것은 투수에게 유리하도록 한다. 자책점을 결정할 경우, 인텐셔널베이스온볼스(intentional base on balls, 故意四球)도 일반적인 베이스온볼스(base on balls, 四球)와 같은 것으로 간주한다.1. 자책점은 안타, 희생번트, 희생플라이, 도루, 풋아웃(put out), 야수선택(fielders choice), 베이스온볼스(故意四球 포함), 보크(balk), 폭투(제3스트라이크째의 폭투로 인하여 타자가 1루에서 살았을 경우 포함)에 의하여 주자가 득점할 때마다 기록된다.2. 파울플라이볼(foul fly ball)을 잡지 못해 타격 시간이 연장된 타자가 안타 또는 기타 이유로 1루에 나아갔을 경우, 방해 또는 주루방해로 1루에 나아갔을 경우, 야수의 실책(투수 포함)으로 1루에 나아갔을 경우에는 그 주자가 득점을 해도 자책점으로 기록되지 않는다. 3. 실책이 없었더라면 아웃되었을 주자가 실책으로 아웃되지 않은 뒤 득점했을 경우 자책점으로 기록되지 않는다.4. 실책, 패스트볼, 수비 측의 방해 또는 주루방해로 진루한 주자가 득점한 경우, 이와 같은 미스플레이(misplay)가 없었다면 득점할 수 없었을 것이라고 기록원이 판단했을 때는 자책점으로 기록하지 않는다.5. 자책점을 계산할 경우 투수의 실책은 다른 야수의 실책과 같이 취급한다. 6. 실책이 있었을 경우, 실책의 도움 없이도 주자가 진루할 수 있었는가를 결정하는 데 의문점이 있으면 투수에게 유리하도록 한다.7. 이닝 도중에 투수가 교대되었을 경우, 전임투수가 남긴 주자의 득점 및 전임투수가 남긴 주자를 아웃시킬 때 야수선택으로 출루한 주자의 득점은 구원투수가 아닌 전임투수의 책임으로 한다.8. 구원투수는 투수가 교대될 당시 타자가 결정적으로 유리한 볼카운트(ball count)에 있을 경우, 그 타자에게 허용한 베이스온볼스에 대하여는 책임을 지지 않는다.
"
지명타자,https://terms.naver.com/entry.naver?docId=1230068&mobile&cid=40942&categoryId=32050,"수비는 하지 않고 투수 대신 공격을 전담하는 타자.
수비는 하지 않고 투수 대신 공격만 하는 타자이다. 1973년 아메리칸리그(American League)에서 처음으로 도입한 이래 일본의 퍼시픽리그(Pacific League), 우리나라의 프로야구가 이 제도를 채택하고 있으며, 미국 내셔널리그에서도 채택하고 있다. 반면, 일본의 센트럴리그(Central League)에서는 채택하고 있지 않다. 일본의 프로야구에서는 두 리그 팀 간에 경기를 벌일 때는 홈팀이 속한 리그의 규칙을 적용한다. 영어로는 데지그네이티드 히터(DH, designated hitter)라고 한다.
"
출루율,https://terms.naver.com/entry.naver?docId=1230355&mobile&cid=40942&categoryId=32050,"타자가 타석에서 베이스로 얼마나 많이 살아 나갔는지를 백분율로 나타낸 수치이다. 영어로는 온베이스퍼센티지(on base percentage)라고 한다. 줄여서 OBP라고도 한다.주로 1번 타자에게 높은 출루율이 요구된다. 이는 1번 타자가 출루함으로써 다음 타자의 부담이 줄어들 수 있으며 상대팀에게는 첫 타자부터 출루시켰다는 압박감을 줄 수 있기 때문이다.
"
퀄리티스타트,https://terms.naver.com/entry.naver?docId=1222105&mobile&cid=40942&categoryId=31968,"선발로 등판한 투수가 6이닝 이상 공을 던지고 3자책점 이하로 막아 낸 경기를 뜻하는 야구용어.
영문 머리글자를 따서 QS로 약칭한다. 1986년 《워싱턴포스트》의 기자 저스티스(Richard Justice)가 처음으로 사용한 이래, 메이저리그에서 투수의 능력을 평가하는 주요 잣대 가운데 하나로 삼고 있는 야구 용어이다. 1980년대 이전에는 투수들이 한 시즌에 300이닝 이상을 던지는 경우가 많아 퀄리티 스타트는 큰 의미가 없었다. 그러나 1980년대 이후 투수들의 보직이 분업화되면서 선발투수들의 능력을 재는 잣대로 작용한다.
"
타석,https://terms.naver.com/entry.naver?docId=1230150&mobile&cid=40942&categoryId=32050,"타자가 타격을 완료할 때까지 벗어나서는 안 되는 직사각형 구역.
타석은 홈플레이트(home plate) 좌우에 흰색 선으로 표시된 폭 1.22m, 길이 1.82m의 직사각형 공간이다. 타자석(打者席)의 줄인말이며 영어로는 배터스박스(batter’s box)라고 한다. 타자는 타격을 완료할 때까지 타석을 벗어나서는 안되며, 만약 이 구역을 넘어서 타격하면 반칙타구가 되어 타자는 아웃 처리 된다. 우타자(오른손타자)는 포수의 왼쪽(투수가 보기에 오른쪽) 타석에 서며 좌타자(왼손타자)는 그 반대인 포수의 오른쪽에 선다.
"
타수,https://terms.naver.com/entry.naver?docId=1580175&mobile&cid=50344&categoryId=50344,"야구에서, 타자가 타격한 횟수를 말한다. 여기서 베이스 온 볼스, 희생번트, 투수의 방해, 희생타 등은 제외되며 이에 따라 선수의 타율이 정해진다.
"
타율,https://terms.naver.com/entry.naver?docId=1230156&mobile&cid=40942&categoryId=32050,"타격 성적을 백분율로 나타낸 것으로, 영어로는 배팅애버리지(BA, batting average)라고 한다. 타율은 타자의 타격정확도를 가늠하는 척도로, 타율이 높을수록 강타자로 인정받는다. [산출 공식](타율)=(안타 수)÷(타수)안타 수를 타수(打數, at bat)로 나누어 계산한 수를 소수점 아래 넷째 자리에서 반올림하여 소수점 아래 셋째 자리까지 표시한다. 타율을 말할 때는 소수를 그대로 읽기도 하지만 일반적으로 소수점 아래 첫째 자리에 ‘할’, 둘째 자리에 ‘푼’, 셋째 자리에 ‘리’를 붙여 읽기도 한다. 예를 들어 2010년 타율이 가장 높았던 이대호는 552번 타석에 올라 베이스온볼스, 데드볼(몸에 맞은 공, 死球), 희생타, 타격방해 등을 제외하고 478타수를 기록했으며 총 174개의 안타를 쳤다. 따라서 이대호의 타율은 174÷478을 계산하면 나오는 0.36401…를 반올림한 0.364, 즉 3할 6푼 4리이다.
"
타점,https://terms.naver.com/entry.naver?docId=1580201&mobile&cid=50344&categoryId=50344,"야구 관련 용어. 타자의 플레이로 주자가 홈베이스에 들어와 득점했을 때 타자에게 주어지는 점수를 말한다. 여기서 타자의 플레이에는 안타 뿐만 아니라 희생플라이나 볼넷 등도 포함된다. 타점이 많은 타자는 득점 찬스에 강하다는 것을 의미한다.
"
퍼펙트게임,https://terms.naver.com/entry.naver?docId=1225313&mobile&cid=40942&categoryId=31968,"야구에서 선발 등판한 투수가 한 명의 타자도 진루시키지 않고 끝낸 게임을 가리키는 용어.
야구에서 한 명의 투수가 선발 등판해 단 한 명의 타자도 진루시키지 않고 끝내는 경기를 말한다. 즉 한 명의 투수가 1회부터 경기가 끝날 때까지 상대편 타자를 한 명도 1루에 내보내지 않은 경기이다. 홈런을 포함한 안타, 볼넷, 사구, 수비 실책 등 어떤 경우에도 타자를 진루시키지 않아야 하기 때문에 그만큼 어렵다. 1875년 출범한 미국 메이저리그에서도 출범 이후 2004년 5월까지 단 17명의 투수만이 퍼펙트게임을 달성하였을 뿐이다. 때문에 투수라면 누구든지 한 번은 이루고 싶은 꿈의 기록이라고 할 수 있다.메이저리그 최초의 퍼펙트게임은 1880년 웨체스터의 리치먼드(Lee Richmond)가 기록하였다. 2000년대에는 2004년 5월 19일 애리조나 다이아몬드백스의 랜디 존슨(Randy Johnson)이 애틀랜타 브레이브스를 상대로 퍼펙트게임을 이루었고, 2009년 7월 24일 시카고 화이트삭스의 마크 벌리(Mark Buehrle)가 탬파베이 레이스를 상대로 메이저리그 사상 18번째로 퍼펙트게임을 달성하였다. 일본 프로야구에서는 1950년 한국인 투수 이팔용이 처음으로 퍼펙트게임을 기록한 이후 현재까지 16번의 퍼펙트게임이 있었다. 한국 프로야구에서는 1982년 출범 이후 지금까지 단 한 차례도 달성되지 않고, 노히트노런게임만 10번 기록되었을 뿐이다. 퓨처스 리그에서는 2011년 9월 17일 롯데 자이언츠의 투수 이용훈이 한화 이글스를 상대로 세운 기록이 유일하다.확률상 투수가 9회 동안 안타를 허용하지 않을 확률은 1,000분의 1 정도이고, 퍼펙트게임은 노히트노런게임보다 40배나 어렵다. 미국·일본을 통틀어 퍼펙트게임을 두 번 달성한 투수는 아직까지 없다.
"
패스트 볼(포일),https://terms.naver.com/entry.naver?docId=1580653&mobile&cid=50344&categoryId=50344,"야구에서, 투수가 던진 공이 타자의 배트에 맞지 않았는데 포수의 실수로 뒤로 빠지는 상황을 말한다. 이 때 주자는 재빨리 다음 베이스로 전진할 수 있다. 와일드 피치(wild pitch) 비교.
"
패전투수,https://terms.naver.com/entry.naver?docId=1230113&mobile&cid=40942&categoryId=32050,"팀에게 패배의 빌미를 준 투수. 이닝(inning)에 관계없이 뒤지고 있을 때 마운드를 내려온 이후, 자기 팀이 한번도 동점을 이루거나 역전을 못하고 경기가 종료되었을 경우를 말한다. 영어로는 루징피처(losing pitcher)라고 한다.
"
